text,label,source
dislike one know real music ex enimen,0,YouTube
loool nice song funny one understands love,0,YouTube
like came see many view song,0,YouTube
pray little psy,0,YouTube
follow instagram chris cz,1,YouTube
shit still relevant,0,YouTube
lol shit never get old,0,YouTube
say song change world completely good job psy girl awesome,0,YouTube
u see camera man glass,0,YouTube
comment wrong,0,YouTube
hate music fucking singer every koean chainise ana u suck dick,0,YouTube
hahahahah,0,YouTube
reach billion view december,0,YouTube
funny thing song made took year get america,0,YouTube
dont see comment mine,0,YouTube
jap piece shit worthless fish head dont know one like dumb untanlted gook isnt even fucken music fucking sad even thing people fucked,0,YouTube
remember everyone obsessed gangnam style,0,YouTube
remove video wank,0,YouTube
many memory,0,YouTube
million comment youtube user million fake account psy hacked youtube,0,YouTube
going voyage first comment tell family loved,0,YouTube
korean girl slut bitch hyuna,0,YouTube
hey guy check kollektivet slappin penis think deserve much credit receive,1,YouTube
still fun music video watch,0,YouTube
c mon billion view,0,YouTube
subscribe chanel,1,YouTube
lol,0,YouTube
pause last millisecond see chick laugh take try,0,YouTube
psy good guy,0,YouTube
billion view song annoying,0,YouTube
[url],1,YouTube
millioon dislikesssssssssssssssssssssssssssssssss,0,YouTube
little psy suffering brain tumor month live please pray best luck,0,YouTube
little kidz like billon people earth millon get fact straight posting comment,0,YouTube
stupid humanity,0,YouTube
come watch video called odowd crowd zombie movie part,1,YouTube
know song suck dick need use google translate know fuck saying,0,YouTube
wow video viewed youtube video second come justin bieber baby smh world come,0,YouTube
watching,0,YouTube
viewed video youtube daaaaaaaaaaannng view almost dominate entire china,0,YouTube
gangnam style,0,YouTube
lol youtuber officialpsy getting much money lol,0,YouTube
million dislike epic fail ready fanboys,0,YouTube
reach subscriber go round public pouring bucket ice water people running away acting like like people see,1,YouTube
youtube money,0,YouTube
billion shit,0,YouTube
hi guy name dylan irl football video subscriber think guy would like content come check subscribe,1,YouTube
follower please [url],1,YouTube
billion view wow even baby justin beibs much deserve capitalized name,0,YouTube
reach subscriber tazz self friend,1,YouTube
please help go college guy thanks bottom heart [url],1,YouTube
[url],1,YouTube
awesome smart sucscribe,1,YouTube
follow follow vaahidmustafic like like,1,YouTube
[url] psy news cal,1,YouTube
[url] add mee lt lt,1,YouTube
im sorry spam name jenny go high school everyone dress fashionable need money buy cute clothes low self esteem live dad mom passed away really mother figure brother older since boy get attention alone really want wear pretty clothes like girl school get boyfriend self im quite shy school confidence talk someone one friend name caroline moved away im alone could donate money would great care expensive brand ill shop walmart pretty clothes also wanna get nail done salon see alot girl french tip never nail salon really appreciate get hair curled [url] thanks omg please,1,YouTube
hate song,0,YouTube
please throw sub channel,1,YouTube
go channel u want see fly getting burned alive,1,YouTube
came check view p,0,YouTube
hav absolutely idea saying even language,0,YouTube
please check vidios guy,1,YouTube
still day wonder video popular illuminati confirmed,0,YouTube
hey guy check channel plz mine craft video let shoot sub,1,YouTube
getting old,0,YouTube
please subscribe,1,YouTube
came check view count,0,YouTube
check music video fuego u la la remix hyperurl co k xt,1,YouTube
check music video please subscribe fuego u la la remix hyperurl co k xt,1,YouTube
[url],1,YouTube
world record youtube video view xd,0,YouTube
think drunk x,0,YouTube
limit sun exposure driving eliminate hassle swing car visor windshield window [url],1,YouTube
[url],1,YouTube
[url],1,YouTube
follow company twitter thanks [url],1,YouTube
imagine guy put adsense view u could pay ur morgage,0,YouTube
hey come check u new youtube let u know think forget subscribe thanks,1,YouTube
[url],1,YouTube
[url] please like frigea marius gabriel comment,1,YouTube
please buy new christmas shirt buy time december th sold worldwide miss [url],1,YouTube
free apps get crdits click link download app done link [url],1,YouTube
song like view michael jackson smh,0,YouTube
everyones back lool almost year old people still hear xd,0,YouTube
billion view planet lol,0,YouTube
watching,0,YouTube
subscribe call duty vids give aways goal sub,1,YouTube
hi guy please android photo editor download thanks [url],1,YouTube
love much also generate free lead auto pilot amp [url],1,YouTube
[url] vote sone please vip please help u gt lt,1,YouTube
[url] song,1,YouTube
hey everyone watch trailer [url],1,YouTube
check rapping hope guy like [url] follow message,1,YouTube
hey guy visit channel pleaase searching dream,1,YouTube
nice [url],1,YouTube
[url],1,YouTube
hey guy glamour beauty started youtube channel please go check going post singing video also random video fell like please go subscribe come soon remember subscribe,1,YouTube
hey guy mom said got sub christmas get kitten always wanted kitten please watch video like subscribe like please mean comment,1,YouTube
[url],1,YouTube
[url],1,YouTube
[url] please check stuff make feedback,1,YouTube
take break katie help reach subscriber month new music free downloads,1,YouTube
subscribe please,1,YouTube
check cover video coming please subscribe,1,YouTube
subscribe channel,1,YouTube
hey guy small youtuber upload video nearly every single day hope like shikas please give min life view channel new video watch anime free pretty sure wont regret visiting channel thank,1,YouTube
[url] please join voice liked shared please win audition score thanks much,1,YouTube
katy perry u sit face please would really awesome give dollar ok want please call subscribe channel first ok thats good u sit face ill get erection sit k,1,YouTube
[url] people talented talented sponsor,1,YouTube
really love video [url],1,YouTube
hi guy check awesome edm amp house mix thanks lot [url],1,YouTube
hiya started youtube would mean lot could subscribe watch first video xx,1,YouTube
watch maroon latest nd single v always [url] com watch v tq fuau,1,YouTube
help please [url],1,YouTube
[url] download make money today,1,YouTube
[url],1,YouTube
votekatyperry mtv vma best lyric video see lead vote [url],1,YouTube
[url],1,YouTube
south american jungle jungle matter find african elephant bengal tiger place made video,0,YouTube
[url],1,YouTube
ima rapper trying get notice please check mixtape datpiff com mixtapes detail php id,1,YouTube
even without make still hot [url],1,YouTube
thanks video know nokia phone survive plane crash,0,YouTube
[url],1,YouTube
treu detective alternate ending [url],1,YouTube
new makeup transformation integrated look like feature available ver know look like install update version makeup transformation [url] visit google play,1,YouTube
perfect lt,0,YouTube
nicee sabrosura viva [url],1,YouTube
[url],1,YouTube
yay im th commenter crazy please donate bitcoins fhenqx twqm v ptayiejnealahzvem,1,YouTube
[url],1,YouTube
song make want drink bleach,0,YouTube
really hardcore,0,YouTube
[url],1,YouTube
follow watch video follow watch video follow watch video follow watch video follow watch video follow watch video follow watch video,1,YouTube
big fan song video awesome,0,YouTube
katy perry stop dont song dont like,0,YouTube
go channel check written song,1,YouTube
subscribe u gonna hear roar,1,YouTube
opinion think look better black hair blond hair,0,YouTube
gonna hear roarrrr,0,YouTube
follow gt [url],1,YouTube
finish dissertation laugh face finish roaaarrr,0,YouTube
old whore,0,YouTube
please share help friend [url] thank much,1,YouTube
roaaaaarrrrrr,0,YouTube
look fun good song,0,YouTube
love katy,0,YouTube
loved much get stand fear,0,YouTube
click itunes code [url],1,YouTube
katy perry inspirational singer voice awesome loved much achieved music history believe guy could take min go channel watch first video would greatly thankful ty guy n katy still awesome xoxo,1,YouTube
hi guy sell jack daniel hard back cover case iphone c old time dollar ebay [url],1,YouTube
[url] gf,1,YouTube
subscribe,1,YouTube
cute,0,YouTube
roar without doubt best song feel good song message everyone good job katy,0,YouTube
great mother jungle sweet natural like video,0,YouTube
[url] vote sheldon please guy give star thanks advance,1,YouTube
katy conqueror haki gt,0,YouTube
check video please hate give one oportunity,1,YouTube
wow nice congrasulation live much [url],1,YouTube
bilion poeple earth stop dumb,0,YouTube
love shit disliked suck,0,YouTube
great video great artist katy perry admire creativity check channel nonsense mobile tech review comparison well iphone plus review comparison,1,YouTube
real animal,0,YouTube
maybe best music video last year pop music done folk,0,YouTube
love katy perry lt lt,0,YouTube
boooobs,0,YouTube
almost katys birthday october th let say happy birthday katy,0,YouTube
katy perry looking soo pretty damn cute,0,YouTube
great song go katy,0,YouTube
looooooooooooooooooooovvvvvvvvveeeeeeeeeeee ittttttttttttt,0,YouTube
telephone,0,YouTube
comment randomly get lot like reply reason also like jello strawberry jello,0,YouTube
katy voice gold video really brings lyric life rapper subscriber thumb hate take shit water splash nut,1,YouTube
song million view million people world,0,YouTube
katy perry garbage rihanna best singer world,0,YouTube
[url],1,YouTube
song good got overplayed hell radio,0,YouTube
great song,0,YouTube
awesum song jus luv,0,YouTube
watch video xx,1,YouTube
please check acoustic cover channel thanks,1,YouTube
imagine news crazy woman found acting like tiger bit jims ear,0,YouTube
selfie alert,0,YouTube
going hear roar soundsofsunday,0,YouTube
shit,0,YouTube
love vena trojmiasto pl vena bus taxi html,1,YouTube
katty perry please say one new videoes follow girl girl please,1,YouTube
big fan love,0,YouTube
[url],1,YouTube
lt katy perry,0,YouTube
[url],1,YouTube
[url],1,YouTube
interested making extra money internet use next link [url],1,YouTube
hey guy plz check youtube channel c funny girl cup reaction thanks plz subscribe thanks,1,YouTube
please subscribe every sub get shout tell type video u want try make happen,1,YouTube
hey guy subscribe channel reason please,1,YouTube
katycat [url],1,YouTube
least get rid completely useless makeup,0,YouTube
love roar katy perry favorite singer sometimes mute volume look,0,YouTube
best best video world,0,YouTube
gt attention katycats katy lead noms year mtv ema vote daily tv mtvema com vote delete space thumb share fb,1,YouTube
really like song,0,YouTube
son love much,0,YouTube
love,0,YouTube
follow instagram bigboss,1,YouTube
elephant broken horn,0,YouTube
free itunes giftcard code [url],1,YouTube
find make freakin jungle,0,YouTube
cute monkey,0,YouTube
nice song,0,YouTube
subscribe please,1,YouTube
beginning scared everything next thing know leopard bikini,0,YouTube
please look channel,1,YouTube
three bigger secret think good enough skinny size bisexual sweat really freaking bad nervous check secret austin mahone new single,1,YouTube
[url] like mee,1,YouTube
katy beautiful song catchy rapper subscriber thumb hate take shit water splash ball,1,YouTube
love green eye,0,YouTube
old katy perry,0,YouTube
popular video youtube,0,YouTube
nokia spotted,0,YouTube
hi everyone dream passionate sex katy perry people believe maybe sex giant part life push better person please give chance giving thumb love ambition please subscribe,1,YouTube
fantastic,0,YouTube
j aiiima plzzz [url],1,YouTube
[url],1,YouTube
awesome xd,0,YouTube
katy perry song bad,0,YouTube
hi beaties made new channel please go check subscribe enjoy,1,YouTube
[url] like page yo,1,YouTube
beautiful bella diagnosed wobbler syndrome way could afford mri surgery dog special member family without surgery fear lose please help [url],1,YouTube
[url],1,YouTube
[url],1,YouTube
good,0,YouTube
[url],1,YouTube
awesome video one favorite song,0,YouTube
body like katy perry look hot love,0,YouTube
download rapid facebook free [url],1,YouTube
else would give katy perry good old mighty roar,0,YouTube
omg love katy parry song rock thats total subscribe,0,YouTube
[url] esyest money ever join team,1,YouTube
katy perry roar official [url],0,YouTube
free itunes gift card [url],1,YouTube
katy perry awesome,0,YouTube
song addicting hook dope catchy love video getting popular fast rap real thumb piss next water toilet quiet,1,YouTube
nice song see new track,1,YouTube
love sooooooooooooong love katy perry,0,YouTube
tattoo right tricep say,0,YouTube
since katy perry youtube channel,0,YouTube
rekt ur mum last nite cuz da haterz much meh lik dis u cri evertim sponswer mi robox vidz [url],1,YouTube
perfect wonder,0,YouTube
[url],1,YouTube
horrible acting cringe worhty,0,YouTube
tiger called katty purry,0,YouTube
follow twitter freyacumqueen,1,YouTube
katy perry roar official [url],0,YouTube
vote katy emas katycats [url],1,YouTube
visit channel,1,YouTube
wow sexy xd,0,YouTube
looking new music listen check cece song called dead itunes music video right youtube,1,YouTube
katy voice angel,0,YouTube
like page please [url],1,YouTube
video racist animal,0,YouTube
man beautiful,0,YouTube
want win borderland pre sequel check channel,1,YouTube
hi would appreciate could help like poster facebook [url],1,YouTube
plz help getting subscriber tonight today thanks sub,1,YouTube
yesterday video million like million,0,YouTube
tiger succumbs beautiful girl probably male tiger ha ha ha,0,YouTube
best song ever,0,YouTube
thank katyperryvevo instagram like axeljonssons,1,YouTube
please subscribe channel,1,YouTube
love katty perry lt,0,YouTube
video great love like much katy perry,0,YouTube
illegal goodlooking babe,0,YouTube
katy mine girl dream,0,YouTube
love song,0,YouTube
fit,0,YouTube
love song roar make think fill way,0,YouTube
rapid facebook free version color characterized fast beauty download [url],1,YouTube
hey katycats releasing movie midnight uk time celebrate katy th birthday sure subscribe channel watch movie,1,YouTube
favorite song,0,YouTube
song never get old lt,0,YouTube
happy birthday katy [url],1,YouTube
like katy perry,0,YouTube
glad know im one know katheryn birthday today happy birthday katy sister seriously birthday,0,YouTube
katy perry sing shit hear autotune,0,YouTube
fucking hate write song got producer second tha fack every song almost nude mayby attention hooker,0,YouTube
also luckymusiqlive probably could help u make big think u talent look name internet hit u get message,1,YouTube
check drum cover e thanks gt watch v povz oiq amp list uultucdihsdei ow wuq,1,YouTube
put famous people jungle hour look happens,0,YouTube
love katy perry lt,0,YouTube
sign free tsu start making money social medium add follow ill add follow [url],1,YouTube
love relate daughter music katy perry roar official [url],0,YouTube
subscribe subscribe back,1,YouTube
katy perry roar official soundsofsunday music,0,YouTube
love,0,YouTube
people believe illuminati stupid people believe made american government,0,YouTube
plz subscribe channel need sub sub back need help,1,YouTube
please look dhg song playlist bunch amazing song,1,YouTube
hey nerdy peach new youtuber would mean absolute world could check em lt hope like,1,YouTube
im pretty sure tiger wanted hug,0,YouTube
[url],1,YouTube
song give strength love lyric video really brings lyric life getting known fast rap meaning thumb piss next water toilet quiet,1,YouTube
[url],1,YouTube
[url],1,YouTube
love katy perry sing nice shakira,0,YouTube
[url],1,YouTube
facebook account hack [url],1,YouTube
love katty perry,0,YouTube
perry good job good job love video way please describe channel please please please please trying get many comment skyburst light cancer get famous please,1,YouTube
cover u want check thank u michael age,1,YouTube
everybody please vote katy ema best song best female best pop best live best look best video please vote katy please please please vote vote vote katy katy katy,1,YouTube
h god roar liked video vevo month ago justin baby congrats katy applause lt,0,YouTube
[url],1,YouTube
[url],1,YouTube
hi everyone like music check music channel lexis band uploading song cover soon miss please subscribe help u lot take one click gt,1,YouTube
[url],1,YouTube
rather hear propa explicit gangsta rap insted garbage song trash,0,YouTube
good song an katy sound great melody im growing artist everyday hit song crazy got name cant thank fan support could take moment check music maybe join make dream come true thank time,1,YouTube
love u make smile im sad cheer beautiful song lt,0,YouTube
katy perry roar official [url] love song video katy perry rock wahoo,0,YouTube
somehow access makeup middle wood,0,YouTube
look real daughter big fan like lot song,0,YouTube
segue ha [url],1,YouTube
stupid roared lion real life dede,0,YouTube
song awesome made everything stand viewer could imagine setting video awesome job katy perry,0,YouTube
katy perry roar official [url],0,YouTube
katy perry lion,0,YouTube
like song video go perfect,0,YouTube
katy perry song best song woman artist,0,YouTube
like song animal like song,0,YouTube
[url],1,YouTube
love song much heard much pretty much memorized lyric,0,YouTube
latest movie please visit site [url],1,YouTube
love subscribed,1,YouTube
[url] go register free money,1,YouTube
check mah girl duh shit yo,1,YouTube
check video youtube facebook lhudygirlamaya,1,YouTube
check acoustic channel,1,YouTube
know someone see dream greatest video best quality right feel like getting anywhere need help could possibly watch video mean world please thumb others see appreciate much please listen hate honestly appreciate much love give year old chance,1,YouTube
hate video like poor animal,0,YouTube
hii youtube,0,YouTube
nice nice,0,YouTube
love song,0,YouTube
katy shit go die roar floooooooooooooooooooop,0,YouTube
love music,0,YouTube
th grade teacher looked exactly like katy perry come think,0,YouTube
curti click [url] [url],1,YouTube
[url] please click link,1,YouTube
come check parody,1,YouTube
please subscribe u thank,1,YouTube
please vote wet seal model contest instagram username destinyforever [url],1,YouTube
[url],1,YouTube
katty best,0,YouTube
good mean much good,0,YouTube
song mean much thank soooooooooooooooooooooooooooooooooooooooo much xxx,0,YouTube
lt,0,YouTube
honestly speaking except taylor swift adele lile modern day singer must say whenever hear song feel goosebump quite inspiring thanks miss perry,0,YouTube
going reach billion first katy taylor,0,YouTube
wierd funny,0,YouTube
party rock lol want shuffle,0,YouTube
party rock,0,YouTube
shuffle,0,YouTube
omg,0,YouTube
song really fun,0,YouTube
awsome br,0,YouTube
wow increible song,0,YouTube
love song much,0,YouTube
likeee,0,YouTube
miss people dressed like,0,YouTube
last year decent music,0,YouTube
best song ever,0,YouTube
wo [url],0,YouTube
party rock,0,YouTube
thumb watched,0,YouTube
increidebl,0,YouTube
lmfao,0,YouTube
superr,0,YouTube
llikee,0,YouTube
yeah let start party,0,YouTube
awesome song needed year reach mil view tango switch bitch needed year fairrrrrrr,0,YouTube
nice girl,0,YouTube
remember back popular everyone school shuffling crazy,0,YouTube
lmfao,0,YouTube
super awesome video br,0,YouTube
dance,0,YouTube
party rock br,0,YouTube
best song ever hire br,0,YouTube
ahhh back life suck,0,YouTube
party rock xd,0,YouTube
cute,0,YouTube
lmfao best song ever,0,YouTube
shuffle hard made earthquake nepal,0,YouTube
nice,0,YouTube
still reminds year back shuffle everyday,0,YouTube
love song make wanna dance,0,YouTube
time shirt cool,0,YouTube
love video song course,0,YouTube
check video youtube,1,YouTube
nice br yeah fucking,0,YouTube
well dude faded fuck,0,YouTube
ah good old time,0,YouTube
old good song,0,YouTube
cool,0,YouTube
million view anymore,0,YouTube
good,0,YouTube
check video youtube,1,YouTube
check video youtube br,1,YouTube
remeber good ol day song butt,0,YouTube
music hero,0,YouTube
born wrong generation,0,YouTube
love song make wanna dance,0,YouTube
love song make wanna dance,0,YouTube
good like,0,YouTube
love lmfao party rockin keep going,0,YouTube
best music ever,0,YouTube
likeeee,0,YouTube
cool,0,YouTube
remeber song good,0,YouTube
lt,0,YouTube
want robot guy,0,YouTube
love song,0,YouTube
omg going bi view,0,YouTube
dance,0,YouTube
check video youtube,1,YouTube
year,0,YouTube
cool cool cool cool cool cool cool,0,YouTube
wow love,0,YouTube
know name girl one one,0,YouTube
stop career music music rock,0,YouTube
nice,0,YouTube
sooooo many down,0,YouTube
tension,0,YouTube
nice,0,YouTube
br like video,0,YouTube
music yeah,0,YouTube
like,0,YouTube
epic track video awesome,0,YouTube
likkee,0,YouTube
give like,1,YouTube
let party,0,YouTube
anyone else think video theme bit insult day later,0,YouTube
check video youtube,1,YouTube
never get old,0,YouTube
remember used popular around time br still love,0,YouTube
strong message every song heard,0,YouTube
fucking year fucking past fucking fast fuck,0,YouTube
know old song like watching,0,YouTube
watching summer,0,YouTube
going blow mind,0,YouTube
shufflin still today,0,YouTube
favorite song ever love party rock everybody,0,YouTube
view,0,YouTube
let get billion,0,YouTube
love soooooooooooooooooooooooooooooooooooooooooooooooooo much,0,YouTube
love song much,0,YouTube
subscriber,1,YouTube
song awesome,0,YouTube
best song ever made swear still hear even doe old else,0,YouTube
came vanoss,0,YouTube
best song ever br,0,YouTube
epic,0,YouTube
beautiful song,0,YouTube
feel like gangnam style copied song,0,YouTube
party time,0,YouTube
never get old,0,YouTube
song fu cking awesom,0,YouTube
put picture image thingie,1,YouTube
thumb shrek gay,1,YouTube
thumb robo guy baby,0,YouTube
seriously come beat insanely good holy fuck,0,YouTube
best party song literally party rock housee tonight,0,YouTube
memory,0,YouTube
lovee,0,YouTube
view nikki minaj anaconda,0,YouTube
lmfao best,0,YouTube
else saw jesses dancing sorry spelled wrong peace,0,YouTube
like robot shuffle shuffle good,0,YouTube
cant stop shuffle,0,YouTube
dang dat little kid gat move,0,YouTube
miss song,0,YouTube
love,0,YouTube
check video youtube br gotta dance blast every time hear song love br,1,YouTube
man song really get bone one minute nearly dosing sleep next shuffling like crazy hot foot xd,0,YouTube
shake golden black robot really partying,0,YouTube
take look video youtube,1,YouTube
cooooooooooooolllllllllll,0,YouTube
wow,0,YouTube
everyday shufflin,0,YouTube
everyday shufflin,0,YouTube
thumb fe fe fe fe fegelein brought u,1,YouTube
every day shuffling,0,YouTube
cool song ever good thing,0,YouTube
world shuffle,0,YouTube
funny listen rock death metal like,0,YouTube
th viewed video guess,0,YouTube
favorite song,0,YouTube
like song br,0,YouTube
wow dance show,0,YouTube
awesome,0,YouTube
like ur watchin,1,YouTube
good time,0,YouTube
laughing fucking as,0,YouTube
wait saw kid kidding,0,YouTube
party rock due duel,0,YouTube
fucking love omg v,0,YouTube
good dance companion front whole school,0,YouTube
check video youtube,1,YouTube
could finally spongebob started yesterday xd,0,YouTube
thumb watching,0,YouTube
love,0,YouTube
hate laura bennett come,0,YouTube
party da tonight,0,YouTube
best partying,0,YouTube
omg,0,YouTube
guy jacket sleeve sleeveless arm,0,YouTube
best song ever,0,YouTube
take look video youtub br,1,YouTube
like step,0,YouTube
let get video one billion view,0,YouTube
head like year ago time fly,0,YouTube
still shuffling song,0,YouTube
check video youtube,1,YouTube
df lauren bennett,0,YouTube
awesome,0,YouTube
xd going crazy fuckin crazy watchin brah,0,YouTube
shuffled listening song illness spreading,0,YouTube
way guy warring robot head,0,YouTube
like song,0,YouTube
sorry hater br br br br br br br br br br br br br party rock en,0,YouTube
like br,0,YouTube
gooooood,0,YouTube
likeeeeeeeee,0,YouTube
shuffle,0,YouTube
lol funny love,0,YouTube
good party,0,YouTube
like comment watching,1,YouTube
check video youtube,1,YouTube
check playlist youtube,1,YouTube
check video youtube,1,YouTube
share thought,1,YouTube
subscribe plzzzzzzz plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1,YouTube
guy lmfaois going reunion june expo idaho garden going performe live going press conference answer question live channel got publishing right subscribe channel watch whole thing u believe look hope see u true fan yes free,1,YouTube
iiiiiiiiiii love shake song oh sorry every shake song like watch subscribe never unlike brooooo shake,1,YouTube
check playlist youtube,1,YouTube
check video youtube br br br br,1,YouTube
check video youtube,1,YouTube
watching subscribe,1,YouTube
come subscribe,1,YouTube
